Cache: (10, 2, 8) WTWNA
Write MISS for address 10028f58
Read MISS for address 10029cb0
Write MISS for address 10028f5c
Read HIT for address 10029cb0
Write MISS for address 10028f60
Read MISS for address 100660bc
Read MISS for address 100660a0
Read MISS for address 100660a4
Read MISS for address 100660b0
Read HIT for address 100660bc
Read MISS for address 100374a0
Read MISS for address 1002e92c
Read MISS for address 10029cb4
Write MISS for address 10029258
Read HIT for address 10029cb4
Write MISS for address 1002925c
Read HIT for address 10029cb4
Write MISS for address 10029260
Read MISS for address 100662bc
Read MISS for address 100662a0
Read MISS for address 100662a4
Read MISS for address 100662b0
Read HIT for address 100662bc
Read MISS for address 10036e88
Read MISS for address 1002dedc
Read MISS for address 10029cb8
Write MISS for address 10028bf8
Read HIT for address 10029cb8
Write MISS for address 10028bfc
Read HIT for address 10029cb8
Write MISS for address 10028c00
Read MISS for address 100664bc
Read MISS for address 100664a0
Read MISS for address 100664a4
Read MISS for address 100664b0
Read HIT for address 100664bc
Read MISS for address 10039ed0
Read MISS for address 10030b64
Read MISS for address 10029cbc
Write MISS for address 10028b2c
Read HIT for address 10029cbc
Write MISS for address 10028b30
Read HIT for address 10029cbc
Write MISS for address 10028b34
Read MISS for address 100666bc
Read MISS for address 100666a0
Read MISS for address 100666a4
Read MISS for address 100666b0
Read HIT for address 100666bc
Read MISS for address 10038d00
Read MISS for address 1002fbec
Read MISS for address 10029cc0
Write MISS for address 10028b20
Read HIT for address 10029cc0
Write MISS for address 10028b24
Read HIT for address 10029cc0
Write MISS for address 10028b28
Read MISS for address 100668bc
Read MISS for address 100668a0
Read MISS for address 100668a4
Read MISS for address 100668b0
Read HIT for address 100668bc
Read MISS for address 10039bc4
Read MISS for address 10030e34
Read MISS for address 10029cc4
Write MISS for address 1002909c
Read HIT for address 10029cc4
Write MISS for address 100290a0
Read HIT for address 10029cc4
Write MISS for address 100290a4
Read MISS for address 10066abc
Read MISS for address 10066aa0
Read MISS for address 10066aa4
Read MISS for address 10066ab0
Read MISS for address 1003b94c
Read MISS for address 10032a90
Read HIT for address 10066abc
Read MISS for address 10066cbc
Read MISS for address 10066ca0
Read MISS for address 10066ca4
Read MISS for address 10066cb0
Read HIT for address 10066cbc
Read MISS for address 1003cf54
Read MISS for address 10033f6c
Read MISS for address 10029cc8
Write MISS for address 10029018
Read HIT for address 10029cc8
Write MISS for address 1002901c
Read HIT for address 10029cc8
Write MISS for address 10029020
Read MISS for address 10066ebc
Read MISS for address 10066ea0
Read MISS for address 10066ea4
Read MISS for address 10066eb0
Read HIT for address 10066ebc
Read MISS for address 100362d0
Read MISS for address 1002cf28
Read MISS for address 10029ccc
Write MISS for address 10028694
Read HIT for address 10029ccc
Write MISS for address 10028698
Read HIT for address 10029ccc
Write MISS for address 1002869c
Read MISS for address 100670bc
Read MISS for address 100670a0
Read MISS for address 100670a4
Read MISS for address 100670b0
Read HIT for address 100670bc
Read MISS for address 100354fc
Read MISS for address 1002bf38
Read MISS for address 10029cd0
Write MISS for address 100288e0
Read HIT for address 10029cd0
Write MISS for address 100288e4
Read HIT for address 10029cd0
Write MISS for address 100288e8
Read MISS for address 100672bc
Read MISS for address 100672a0
Read MISS for address 100672a4
Read MISS for address 100672b0
Read HIT for address 100672bc
Read MISS for address 10038148
Read MISS for address 1002ecec
Read MISS for address 10029cd4
Write MISS for address 1002882c
Read HIT for address 10029cd4
Write MISS for address 10028830
Read HIT for address 10029cd4
Write MISS for address 10028834
Read MISS for address 100674bc
Read MISS for address 100674a0
Read MISS for address 100674a4
Read MISS for address 100674b0
Read MISS for address 1003d350
Read MISS for address 100343e0
Read HIT for address 100674bc
Read MISS for address 100676bc
Read MISS for address 100676a0
Read MISS for address 100676a4
Read MISS for address 100676b0
Read HIT for address 100676bc
Read MISS for address 1003c0cc
Read MISS for address 1003360c
Read MISS for address 10029cd8
Write MISS for address 10028f88
Read HIT for address 10029cd8
Write MISS for address 10028f8c
Read HIT for address 10029cd8
Write MISS for address 10028f90
Read MISS for address 100678bc
Read MISS for address 100678a0
Read MISS for address 100678a4
Read MISS for address 100678b0
Read MISS for address 100361e0
Read MISS for address 1002d798
Read HIT for address 100678bc
Read MISS for address 10067abc
Read MISS for address 10067aa0
Read MISS for address 10067aa4
Read MISS for address 10067ab0
Read MISS for address 100364b0
Read MISS for address 1002d9b4
Read HIT for address 10067abc
Read MISS for address 10067cbc
Read MISS for address 10067ca0
Read MISS for address 10067ca4
Read MISS for address 10067cb0
Read MISS for address 10038a6c
Read MISS for address 100301c8
Read HIT for address 10067cbc
Read MISS for address 10029cdc
Write MISS for address 10028cb8
Read HIT for address 10029cdc
Write MISS for address 10028cbc
Read HIT for address 10029cdc
Write MISS for address 10028cc0
Read MISS for address 10067ebc
Read MISS for address 10067ea0
Read MISS for address 10067ea4
Read MISS for address 10067eb0
Read HIT for address 10067ebc
Read HIT for address 10038a6c
Read MISS for address 1002fe80
Read MISS for address 10029ce0
Write MISS for address 10029210
Read HIT for address 10029ce0
Write MISS for address 10029214
Read HIT for address 10029ce0
Write MISS for address 10029218
Read MISS for address 100680bc
Read MISS for address 100680a0
Read MISS for address 100680a4
Read MISS for address 100680b0
Read HIT for address 100680bc
Read MISS for address 10039b88
Read MISS for address 100316e0
Read MISS for address 10029ce4
Write MISS for address 100291a4
Read HIT for address 10029ce4
Write MISS for address 100291a8
Read HIT for address 10029ce4
Write MISS for address 100291ac
Read MISS for address 100682bc
Read MISS for address 100682a0
Read MISS for address 100682a4
Read MISS for address 100682b0
Read MISS for address 10038580
Read MISS for address 1002f868
Read HIT for address 100682bc
Read MISS for address 100684bc
Read MISS for address 100684a0
Read MISS for address 100684a4
Read MISS for address 100684b0
Read MISS for address 100380d0
Read MISS for address 1002f5d4
Read HIT for address 100684bc
Read MISS for address 100686bc
Read MISS for address 100686a0
Read MISS for address 100686a4
Read MISS for address 100686b0
Read MISS for address 1003b028
Read MISS for address 10032784
Read HIT for address 100686bc
Read MISS for address 10029ce8
Write MISS for address 10028a18
Read HIT for address 10029ce8
Write MISS for address 10028a1c
Read HIT for address 10029ce8
Write MISS for address 10028a20
Read MISS for address 100688bc
Read MISS for address 100688a0
Read MISS for address 100688a4
Read MISS for address 100688b0
Read HIT for address 100688bc
Read MISS for address 1003da1c
Read MISS for address 100348cc
Read MISS for address 10029cec
Write MISS for address 10028784
Read HIT for address 10029cec
Write MISS for address 10028788
Read HIT for address 10029cec
Write MISS for address 1002878c
Read MISS for address 10068abc
Read MISS for address 10068aa0
Read MISS for address 10068aa4
Read MISS for address 10068ab0
Read HIT for address 10068abc
Read MISS for address 100368ac
Read MISS for address 1002dc48
Read MISS for address 10029cf0
Write MISS for address 10028e80
Read HIT for address 10029cf0
Write MISS for address 10028e84
Read HIT for address 10029cf0
Write MISS for address 10028e88
Read MISS for address 10068cbc
